title,country,city,link,protocol,ip,port,domain,as_organization,host
,TH,Bangkok,,ubiquiti-discover,150.109.163.34,10001,xd.com,"Tencent Building, Kejizhongyi Avenue",sg-room-bangkok.fp.xd.com:10001
,SG,,,ubiquiti-discover,8.219.92.142,10001,xd.com,"Alibaba US Technology Co., Ltd.",friendly-sg-room-singapore.fp.xd.com:10001
,TH,Bangkok,,ubiquiti-discover,150.109.163.34,10001,xd.com,"Tencent Building, Kejizhongyi Avenue",friendly-sg-room-bangkok.fp.xd.com:10001
,SG,,,ubiquiti-discover,8.219.92.142,10001,xd.com,"Alibaba US Technology Co., Ltd.",sg-room-singapore.fp.xd.com:10001
301 Moved Permanently,CN,Beijing,http://login.testflight.xdtown.xd.com,http,182.92.112.28,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",login.testflight.xdtown.xd.com
,CN,Beijing,http://s424.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s424.ios.js.xd.com
,CN,Beijing,https://s945.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s945.ios.js.xd.com
301 Moved Permanently,CN,Beijing,https://login.testflight.xdtown.xd.com,https,182.92.112.28,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://login.testflight.xdtown.xd.com
,CN,Beijing,https://s1678.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s1678.ios.js.xd.com
Login,US,Boardman,https://matchserver-lookup-review-awsorg.t3.xd.com,https,34.219.69.56,443,xd.com,AMAZON-02,https://matchserver-lookup-review-awsorg.t3.xd.com
Login,US,Boardman,https://matchserver-lookup-review-awsorg.t3os.xd.com,https,34.219.69.56,443,xd.com,AMAZON-02,https://matchserver-lookup-review-awsorg.t3os.xd.com
,CN,Beijing,http://s1255.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s1255.js.xd.com
,CN,Shanghai,https://updater-master.spark.xd.com,https,47.101.174.138,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://updater-master.spark.xd.com
,CN,,http://gmtool-8666-tw-audit.llzj.xd.com,http,175.97.159.18,80,xd.com,"Tai-Fu Cloud Co., Ltd.",gmtool-8666-tw-audit.llzj.xd.com
,CN,Beijing,http://s995.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s995.ios.js.xd.com
,CN,Beijing,https://s1011.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s1011.ios.js.xd.com
,CN,Beijing,https://s924.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s924.ios.js.xd.com
,CN,Beijing,https://s922.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s922.ios.js.xd.com
,CN,,http://5wan.zf.xd.com,http,203.107.33.10,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",5wan.zf.xd.com
,CN,,https://5wan.zf.xd.com,https,203.107.33.10,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://5wan.zf.xd.com
,CN,Beijing,http://s569.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s569.js.xd.com
,CN,Beijing,https://s581.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s581.js.xd.com
,CN,Beijing,https://s230.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s230.ios.js.xd.com
